Денис Фонвизин; Недоросль; комедия; 1782
Николай Карамзин; Бедная Лиза; романтическая повесть; 1792
Александр Грибоедов; Горе от ума; комедия; 1824
Александр Пушкин; Евгений Онегин; роман в стихах; 1823
Александр Пушкин; Борис Годунов; историческая драма; 1825
Александр Пушкин; Повести Белкина; повести; 1830
Александр Пушкин; Маленькие трагедии; трагедии; 1830
Александр Пушкин; Медный всадник; поэма; 1833
Александр Пушкин; Пиковая дама; рассказ; 1834
Александр Пушкин; Капитанская дочка; роман; 1836
Михаил Лермонтов; Герой нашего времени; роман; 1839
Николай Гоголь; Вечера на хуторе близ Диканьки; повести; 1831
Николай Гоголь; Миргород; повести; 1835
Николай Гоголь; Мертвые души; поэма; 1842
Николай Гоголь; Ревизор; комедия; 1836
Николай Гоголь; Тарас Бульба; повесть; 1835
Николай Гоголь; Петербургские повести; повести; 1835
Александр Герцен; Кто виноват?; роман; 1847
Иван Гончаров; Обломов; роман; 1859
Иван Гончаров; Обыкновенная история; роман; 1847
Иван Тургенев; Записки охотника; рассказы; 1852
Иван Тургенев; Муму; рассказ; 1854
Иван Тургенев; Дворянское гнездо; роман; 1859
Иван Тургенев; Ася; роман; 1857
Иван Тургенев; Отцы и дети; роман; 1862
Иван Тургенев; Вешние воды; роман; 1869
Лев Толстой; Детство. Отрочество. Юность; роман; 1852
Лев Толстой; Война и мир; роман; 1865
Лев Толстой; Кавказский пленник; рассказ; 1872
Лев Толстой; Анна Каренина; роман; 1877
Лев Толстой; Воскресение; роман; 1899
Лев Толстой; Крейцерова соната; повесть; 1889
Александр Островский; Гроза; драма; 1859
Александр Островский; Бесприданница; комедия; 1859
Николай Чернышевский; Что делать?; роман; 1863
Николай Лесков; Леди Макбет Мценского уезда; роман; 1865
Николай Лесков; Левша; рассказ; 1881
Федор Достоевский; Село Степанчиково и его обитатели; роман; 1859
Федор Достоевский; Записки из Мертвого дома; роман; 1860
Федор Достоевский; Преступление и наказание; роман; 1866
Федор Достоевский; Идиот; роман; 1869
Федор Достоевский; Бесы; роман; 1872
Федор Достоевский; Подросток; роман; 1875
Федор Достоевский; Братья Карамазовы; роман; 1880
Михаил Салтыков-Щедрин; История одного города; роман; 1870
Михаил Салтыков-Щедрин; Господа Головлевы; роман; 1876
Николай Некрасов; Кому на Руси жить хорошо; поэма; 1870
Антон Чехов; Драма на охоте; рассказ; 1884
Антон Чехов; Рассказы; рассказы; 1880
Антон Чехов; Дуэль; рассказ; 1891
